DATE,T10YIE
2003-04-01,1.73
2003-05-01,1.60
2003-06-01,1.64
2003-07-01,2.08
2003-08-01,2.16
2003-09-01,2.01
2003-10-01,2.40
2003-11-01,2.31
2003-12-01,2.27
2004-01-01,2.31
2004-02-01,2.38
2004-03-01,2.38
2004-04-01,2.42
2004-05-01,2.66
2004-06-01,2.52
2004-07-01,2.49
2004-08-01,2.35
2004-09-01,2.37
2004-10-01,2.42
2004-11-01,2.61
2004-12-01,2.56
2005-01-01,2.49
2005-02-01,2.66
2005-03-01,2.71
2005-04-01,2.60
2005-05-01,2.37
2005-06-01,2.27
2005-07-01,2.36
2005-08-01,2.37
2005-09-01,2.56
2005-10-01,2.57
2005-11-01,2.37
2005-12-01,2.33
2006-01-01,2.53
2006-02-01,2.53
2006-03-01,2.51
2006-04-01,2.68
2006-05-01,2.64
2006-06-01,2.61
2006-07-01,2.58
2006-08-01,2.50
2006-09-01,2.37
2006-10-01,2.27
2006-11-01,2.30
2006-12-01,2.30
2007-01-01,2.43
2007-02-01,2.36
2007-03-01,2.44
2007-04-01,2.43
2007-05-01,2.36
2007-06-01,2.38
2007-07-01,2.34
2007-08-01,2.20
2007-09-01,2.32
2007-10-01,2.34
2007-11-01,2.34
2007-12-01,2.31
2008-01-01,2.34
2008-02-01,2.43
2008-03-01,2.34
2008-04-01,2.27
2008-05-01,2.48
2008-06-01,2.51
2008-07-01,2.34
2008-08-01,2.15
2008-09-01,1.60
2008-10-01,0.87
2008-11-01,0.33
2008-12-01,0.11
2009-01-01,1.14
2009-02-01,0.96
2009-03-01,1.28
2009-04-01,1.47
2009-05-01,1.80
2009-06-01,1.75
2009-07-01,1.81
2009-08-01,1.64
2009-09-01,1.75
2009-10-01,2.00
2009-11-01,2.08
2009-12-01,2.37
2010-01-01,2.33
2010-02-01,2.13
2010-03-01,2.24
2010-04-01,2.40
2010-05-01,1.99
2010-06-01,1.82
2010-07-01,1.80
2010-08-01,1.52
2010-09-01,1.78
2010-10-01,2.13
2010-11-01,2.07
2010-12-01,2.30
2011-01-01,2.34
2011-02-01,2.39
2011-03-01,2.48
2011-04-01,2.57
2011-05-01,2.25
2011-06-01,2.43
2011-07-01,2.44
2011-08-01,2.05
2011-09-01,1.75
2011-10-01,2.09
2011-11-01,2.05
2011-12-01,1.96
2012-01-01,2.11
2012-02-01,2.26
2012-03-01,2.32
2012-04-01,2.25
2012-05-01,2.09
2012-06-01,2.13
2012-07-01,2.20
2012-08-01,2.25
2012-09-01,2.42
2012-10-01,2.50
2012-11-01,2.41
2012-12-01,2.45
2013-01-01,2.59
2013-02-01,2.53
2013-03-01,2.51
2013-04-01,2.34
2013-05-01,2.21
2013-06-01,1.99
2013-07-01,2.22
2013-08-01,2.10
2013-09-01,2.19
2013-10-01,2.17
2013-11-01,2.15
2013-12-01,2.24
2014-01-01,2.14
2014-02-01,2.17
2014-03-01,2.13
2014-04-01,2.18
2014-05-01,2.22
2014-06-01,2.26
2014-07-01,2.29
2014-08-01,2.12
2014-09-01,1.97
2014-10-01,1.92
2014-11-01,1.79
2014-12-01,1.68
2015-01-01,1.65
2015-02-01,1.83
2015-03-01,1.76
2015-04-01,1.94
2015-05-01,1.80
2015-06-01,1.87
2015-07-01,1.74
2015-08-01,1.63
2015-09-01,1.41
2015-10-01,1.53
2015-11-01,1.59
2015-12-01,1.54
2016-01-01,1.41
2016-02-01,1.42
2016-03-01,1.62
2016-04-01,1.71
2016-05-01,1.54
2016-06-01,1.40
2016-07-01,1.49
2016-08-01,1.47
2016-09-01,1.60
2016-10-01,1.73
2016-11-01,1.94
2016-12-01,1.95
2017-01-01,2.05
2017-02-01,2.02
2017-03-01,1.97
2017-04-01,1.92
2017-05-01,1.81
2017-06-01,1.73
2017-07-01,1.82
2017-08-01,1.76
2017-09-01,1.84
2017-10-01,1.88
2017-11-01,1.86
2017-12-01,1.96
2018-01-01,2.11
2018-02-01,2.12
2018-03-01,2.05
2018-04-01,2.17
2018-05-01,2.07
2018-06-01,2.11
2018-07-01,2.12
2018-08-01,2.08
2018-09-01,2.14
2018-10-01,2.05
2018-11-01,1.97
2018-12-01,1.71
2019-01-01,1.85
2019-02-01,1.95
2019-03-01,1.88
2019-04-01,1.95
2019-05-01,1.74
2019-06-01,1.69
2019-07-01,1.76
2019-08-01,1.55
2019-09-01,1.53
2019-10-01,1.54
2019-11-01,1.61
2019-12-01,1.77
2020-01-01,1.65
2020-02-01,1.41
2020-03-01,0.87
2020-04-01,1.07
2020-05-01,1.15
2020-06-01,1.34
2020-07-01,1.55
2020-08-01,1.8
2020-09-01,1.63
2020-10-01,1.7
2020-11-01,1.77
2020-12-01,1.99
2021-01-01,2.13
2021-02-01,2.15
2021-03-01,2.37
2021-04-01,2.41
2021-05-01,2.42
2021-06-01,2.32
2021-07-01,2.4
2021-08-01,2.33
2021-09-01,2.37
2021-10-01,2.51
2021-11-01,2.5
2021-12-01,2.56
2022-01-01,2.44
2022-02-01,2.62
2022-03-01,2.84
2022-04-01,2.88
2022-05-01,2.64
2022-06-01,2.33
2022-07-01,2.53
2022-08-01,2.48
2022-09-01,2.15
2022-10-01,2.52
2022-11-01,2.34
2022-12-01,2.3
2023-01-01,2.24
2023-02-01,2.43
2023-03-01,2.32
2023-04-01,.
