United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,38.8,31.0,46.4,28.6,48.8,27.5,49.9,1,2.6,1.5,3.0,1.5,3.7,1.1,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.4,2.9,1.4,3.6,1.1,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,43.5,33.9,52.3,31.5,56.1,29.7,58.7
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.7,2.1,1.4,2.4,1.0,2.8,1,1.3,1.0,1.3,0.7,1.7,0.7,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.3,2.7,3.4,2.1,4.1,1.7,4.8
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.6,3.2,1.9,3.2,1.9,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.6,2.2,1.3,2.6,0.0,3.2,3,5.1,4.2,5.4,3.2,5.8,1.9,7.0
1983,1,9.1,6.5,10.5,5.9,11.7,5.2,12.3,3,10.5,9.2,12.8,8.6,13.7,8.0,14.4,1,6.2,4.9,7.4,4.9,7.7,4.6,7.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,6.3,9.0,5.7,9.3,5.4,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,34.8,26.9,39.7,25.1,42.4,23.2,44.0
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,3.0,3.6,2.4,3.8,2.4,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,3.0,3.6,2.4,3.8,2.4,4.3
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.9,2.5,4.4,2.2,4.7,2.2,5.2,1,3.4,2.9,3.7,2.6,4.0,2.3,4.3,1,1.7,1.4,1.7,1.1,2.0,1.1,2.2,3,10.1,6.6,10.0,6.1,10.9,5.6,11.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.6,2.6,2.3,2.9,2.3,2.9,7,21.5,16.0,22.4,14.3,24.5,13.5,26.0
1986,1,4.9,4.1,5.8,3.8,6.3,3.6,6.6,1,1.1,0.8,1.4,0.8,1.6,0.5,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.1,1.4,1.1,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.5,6.0,8.6,5.7,9.6,5.2,10.2
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,52.0,39.5,63.2,36.7,66.0,35.4,67.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,52.0,39.5,63.2,36.7,66.0,35.4,67.6
1989,1,7.4,6.4,8.7,6.2,8.9,6.0,9.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,3.7,6.2,3.7,6.2,3.5,6.4,1,1.3,1.2,1.5,1.2,1.5,1.0,1.7,2,23.1,20.7,24.4,20.0,25.3,19.6,25.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.4,1.9,1.4,1.9,1.4,2.2,6,38.4,33.4,42.7,32.5,43.8,31.5,45.3
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,2.1,2.8,2.1,3.0,1.9,3.0,1,8.0,6.1,9.9,5.9,10.1,5.7,10.4,1,1.9,1.8,2.3,1.8,2.5,1.6,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.4,2.3,1.8,2.5,2.1,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.8,11.4,17.3,11.6,18.1,11.3,18.4
1991,1,6.7,6.7,8.7,6.5,9.2,6.3,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.6,1.1,1.8,1.1,1.8,1,3.3,2.9,4.0,2.6,4.0,2.4,4.2,1,7.2,5.7,8.3,5.5,8.8,5.0,9.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,18.6,16.6,22.6,15.7,23.8,14.8,24.6
1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.8,6.2,7.7,6.2,8.4,5.6,8.4,2,64.4,57.6,69.9,55.4,72.3,54.4,73.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.3,4.7,5.7,4.5,5.9,4.5,6.1,7,76.5,68.5,83.3,66.1,86.6,64.5,88.2
1993,1,2.7,2.7,3.2,2.5,3.4,2.5,3.4,1,44.2,31.2,42.2,29.3,44.1,28.1,45.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.0,1.2,1.0,1.5,0.8,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.8,2.1,2.9,2.1,3.1,1.9,3.3,1,11.6,10.7,12.4,10.5,12.8,9.9,13.4,5,62.6,47.7,61.9,45.4,64.9,43.2,67.2
1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.8,1.8,3.0,1.8,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.0,1.8,2.2,1.6,2.2,1,2.0,1.8,2.4,1.6,2.4,1.6,2.4,1,1.5,1.2,1.8,1.2,1.8,1.0,2.0,2,8.2,7.2,9.1,7.0,9.3,6.8,9.3,6,15.7,14.0,18.1,13.4,18.7,12.8,19.1
1995,1,1.9,1.8,2.2,1.6,2.5,1.4,2.7,1,5.0,3.2,4.8,2.8,5.2,2.8,5.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.0,9.3,12.5,8.5,13.3,8.1,13.9,3,15.0,13.7,17.5,13.3,19.1,12.9,19.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,33.9,28.0,37.0,26.2,40.1,25.2,41.7
1996,1,3.5,3.3,4.5,3.3,4.9,3.1,5.1,2,3.3,2.8,4.0,2.8,4.2,2.6,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.6,8.8,11.3,8.2,11.8,7.8,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.9,4.7,6.4,4.5,6.8,4.5,7.0,5,22.3,19.6,26.2,18.8,27.7,18.0,28.7
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.6,11.7,17.2,10.9,17.9,10.1,18.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.7,2.1,1.7,2.1,1.5,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.4,13.4,19.3,12.6,20.0,11.6,20.9
1998,1,6.6,5.6,6.9,5.4,7.3,5.2,7.4,1,1.7,1.5,2.2,1.5,2.4,1.3,2.4,1,4.7,3.7,5.6,3.5,5.8,3.5,5.8,4,8.7,7.8,9.3,7.3,9.7,7.1,10.3,3,14.1,12.2,15.8,11.4,16.9,11.2,17.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.6,2.0,2.6,2.0,2.8,1.9,3.0,11,38.4,32.8,42.4,31.1,44.9,30.2,46.1
1999,1,4.6,4.2,4.9,4.0,4.9,4.0,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.6,3.1,4.0,3.1,4.2,2.9,4.3,1,11.6,10.2,12.5,9.8,13.1,9.5,13.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.5,3.3,4.0,3.1,4.4,2.9,4.8,5,23.3,20.8,25.4,20.0,26.6,19.3,27.6
2000,1,8.9,8.4,9.6,8.0,10.0,7.8,10.1,1,1.6,0.9,1.7,1.2,1.9,0.9,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.6,2.1,1.6,2.3,1.6,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.8,2.1,1.8,2.1,1.6,2.3,1,1.3,1.1,1.4,0.9,1.4,0.9,1.6,5,14.9,13.8,16.9,13.5,17.7,12.8,18.2
2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.4,5.8,6.6,5.6,7.0,5.5,7.2,1,14.4,12.2,15.4,11.7,16.2,11.3,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20.8,18.0,22.0,17.3,23.2,16.8,23.9
2002,1,15.3,15.3,16.8,15.0,17.2,14.8,17.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.7,4.4,5.0,4.2,5.4,4.0,5.4,2,3.7,3.3,4.2,3.0,4.5,3.0,4.6,1,2.2,1.8,2.5,1.7,2.7,1.7,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,25.9,24.8,28.5,23.9,29.8,23.5,30.1
2003,1,8.3,7.6,8.5,7.5,8.6,7.3,8.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.2,11.7,14.7,11.3,15.2,11.0,15.7,1,8.9,7.6,9.2,7.3,9.7,7.3,9.9,1,6.3,5.3,6.6,5.2,7.0,5.0,7.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,36.7,32.2,39.0,31.3,40.5,30.6,41.7
2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.7,2.5,3.0,2.4,3.1,2.3,3.3,4,85.1,76.3,91.0,74.1,94.2,73.0,95.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,87.8,78.8,94.0,76.5,97.3,75.3,99.2
2005,1,2.3,2.4,2.7,2.2,2.7,2.2,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.2,1.4,1.2,1.4,1.1,1.4,4,251.7,211.2,275.1,200.6,290.8,194.0,300.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,255.3,214.8,279.2,204.0,294.9,197.3,305.0
2006,1,9.1,8.5,9.9,8.4,10.2,8.2,10.3,1,2.3,2.1,3.1,1.9,3.4,1.8,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.4,9.6,10.8,9.3,11.2,9.0,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,2.0,2.4,2.0,2.6,1.8,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,24.0,22.2,26.2,21.6,27.4,20.8,28.2
2007,1,5.3,5.2,5.8,5.1,6.0,5.1,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.1,4.4,5.8,4.3,6.1,4.2,6.1,1,3.7,3.2,3.7,3.1,3.7,3.1,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.9,3.7,4.3,3.6,4.5,3.5,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.0,16.5,19.6,16.1,20.3,15.9,20.7
2008,1,10.0,9.4,10.7,9.2,11.2,9.0,11.3,1,14.2,11.2,14.0,10.6,14.6,10.3,14.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.6,12.1,13.6,11.5,13.9,11.0,14.1,3,51.3,47.0,55.2,45.7,57.0,45.0,58.0,1,1.7,1.7,1.9,1.5,1.9,1.4,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,89.8,81.4,95.4,78.5,98.6,76.7,100.4
2009,1,5.0,4.8,6.0,4.7,6.2,4.5,6.4,1,1.2,1.0,1.3,0.8,1.3,0.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.2,10.5,11.4,10.3,11.7,9.9,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.3,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18.8,17.6,20.2,17.1,20.9,16.3,21.3
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.8,4.2,6.0,3.9,6.2,3.8,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.3,12.0,14.0,11.7,14.3,11.5,14.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,1.1,1.4,1.1,1.5,1.1,1.5,7,19.2,17.3,21.4,16.7,22.0,16.4,23.0
