Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.660342,1.665283,1.526921,1.561512,0.493177,265858430
1985-02-01,1.556570,1.615868,1.487389,1.591161,0.507278,263516019
1985-03-01,1.605985,1.734464,1.566453,1.694932,0.540361,259807627
1985-04-01,1.694932,1.783879,1.650459,1.759171,0.560841,214798454
1985-05-01,1.764113,2.011188,1.719639,1.976597,0.630158,294141889
1985-06-01,1.986480,2.026012,1.853060,1.956831,0.628652,217135806
1985-07-01,1.951890,2.124842,1.867884,1.907416,0.612778,242340741
1985-08-01,1.917299,1.966714,1.848118,1.902475,0.615747,178400040
1985-09-01,1.907416,1.937065,1.739405,1.872826,0.606151,202669021
1985-10-01,1.877767,1.937065,1.729522,1.808586,0.585359,273793788
1985-11-01,1.813528,2.129783,1.813528,2.110017,0.682919,249798000
1985-12-01,2.105076,2.223672,1.877767,2.001305,0.652563,310053070
1986-01-01,2.001305,2.095193,1.828352,1.912358,0.623560,410769097
1986-02-01,1.912358,2.218730,1.902475,2.189081,0.720072,299755071
1986-03-01,2.198964,2.411448,2.045778,2.376858,0.781839,296266752
1986-04-01,2.376858,2.564635,2.189081,2.342268,0.770461,206068804
1986-05-01,2.337326,2.520161,2.268145,2.485571,0.817599,187339645
1986-06-01,2.490512,2.861124,2.396624,2.826534,0.936207,242687293
1986-07-01,2.821592,2.880890,2.530044,2.638757,0.874010,251874802
1986-08-01,2.638757,2.811709,2.609108,2.688172,0.895860,160414586
1986-09-01,2.693114,2.698055,2.233555,2.292853,0.764115,297005397
1986-10-01,2.312619,2.446039,2.223672,2.362034,0.787171,230775408
1986-11-01,2.371917,2.480629,2.292853,2.411448,0.803639,171582770
1986-12-01,2.401565,2.549810,2.352151,2.411448,0.809099,219556631
1987-01-01,2.416390,2.742528,2.416390,2.678289,0.898631,311831382
1987-02-01,2.663465,3.043960,2.653582,2.880890,0.973219,267462197
1987-03-01,2.880890,3.014311,2.791943,2.861124,0.966542,297463253
1987-04-01,2.836417,2.989603,2.559693,2.787002,0.941502,270897394
1987-05-01,2.782060,2.816651,2.411448,2.574518,0.869721,225658031
1987-06-01,2.594284,2.925364,2.549810,2.846300,0.967939,223925251
1987-07-01,2.851241,2.974779,2.772177,2.920422,0.993145,192285012
1987-08-01,2.905598,3.024194,2.796885,2.796885,0.957055,228463352
1987-09-01,2.801826,2.875949,2.648640,2.737587,0.936763,224717016
1987-10-01,2.727704,2.752411,1.699873,2.080368,0.711872,452307657
1987-11-01,2.070485,2.184140,1.808586,1.823411,0.623945,232070563
1987-12-01,1.858001,2.095193,1.630693,1.843177,0.636214,377479562
1988-01-01,1.877767,2.169315,1.872826,2.159432,0.745377,327259411
1988-02-01,2.169315,2.184140,1.981539,2.149549,0.741966,177656338
1988-03-01,2.134725,2.273087,2.114959,2.179198,0.759449,262595249
1988-04-01,2.184140,2.381799,2.124842,2.174257,0.757728,273275218
1988-05-01,2.174257,2.223672,1.907416,2.060602,0.718119,206918753
1988-06-01,2.085310,2.144608,1.976597,2.040836,0.718325,199775159
1988-07-01,2.030954,2.085310,1.961773,2.030954,0.714847,219637579
1988-08-01,2.040836,2.105076,1.971656,2.006246,0.713212,209387642
1988-09-01,2.001305,2.179198,1.976597,2.149549,0.764156,172035568
1988-10-01,2.164374,2.381799,2.134725,2.258262,0.802803,192866824
1988-11-01,2.263204,2.278028,2.144608,2.243438,0.797533,145621483
1988-12-01,2.243438,2.362034,2.203906,2.292853,0.822544,164742728
1989-01-01,2.282970,2.322502,2.189081,2.278028,0.817225,199499433
1989-02-01,2.268145,2.332385,2.134725,2.179198,0.789490,232166690
1989-03-01,2.194023,2.273087,2.154491,2.273087,0.823505,181169950
1989-04-01,2.278028,2.460863,2.268145,2.446039,0.886162,205780431
1989-05-01,2.431214,2.539927,2.381799,2.411448,0.873631,180717154
1989-06-01,2.411448,2.470746,2.228613,2.268145,0.828810,283150777
1989-07-01,2.278028,2.584401,2.268145,2.569576,0.938956,202959925
1989-08-01,2.564635,2.757353,2.480629,2.737587,1.009723,243587832
1989-09-01,2.752411,2.796885,2.614050,2.712880,1.000609,225055985
1989-10-01,2.698055,2.752411,2.490512,2.673348,0.986029,204786298
1989-11-01,2.698055,2.969837,2.633816,2.930305,1.080804,299256737
1989-12-01,2.930305,2.994545,2.584401,2.747470,1.021322,287453627
1990-01-01,2.752411,2.866066,2.643699,2.707938,1.006627,226449793
1990-02-01,2.727704,2.767236,2.154491,2.332385,0.867022,641015818
1990-03-01,2.342268,2.446039,2.282970,2.396624,0.898673,356539532
1990-04-01,2.302736,2.366975,2.233555,2.243438,0.841232,316662915
1990-05-01,2.243438,2.618991,2.174257,2.604167,0.976497,349565425
1990-06-01,2.628874,2.633816,2.465805,2.534986,0.960057,246744772
1990-07-01,2.549810,3.014311,2.520161,2.994545,1.134102,370831771
1990-08-01,2.984662,2.989603,2.544869,2.806768,1.062988,278865633
1990-09-01,2.791943,2.895715,2.678289,2.791943,1.066150,198947982
1990-10-01,2.841358,3.132906,2.782060,2.875949,1.098228,386082729
1990-11-01,2.900656,3.202087,2.836417,3.192204,1.218997,280325212
1990-12-01,3.211970,3.231736,3.088433,3.192204,1.228861,223553401
1991-01-01,3.177380,3.552933,2.905598,3.552933,1.367726,340094599
1991-02-01,3.547992,4.224976,3.508460,4.150854,1.597899,281916332
1991-03-01,4.131088,4.318865,3.948253,4.229918,1.638902,215828002
1991-04-01,4.249684,4.615354,4.229918,4.308982,1.669535,208212641
