Date,Open,High,Low,Close,Adj Close,Volume
1998-09-01,8.250000,10.500000,6.687500,9.625000,6.937578,4646300
1998-10-01,9.625000,13.375000,6.000000,12.875000,9.280140,4878500
1998-11-01,12.937500,13.625000,9.875000,13.437500,9.685582,1814900
1998-12-01,13.250000,23.500000,12.625000,23.500000,16.938507,4257100
1999-01-01,23.000000,23.500000,19.250000,21.625000,15.587029,2044300
1999-02-01,21.625000,23.125000,17.000000,17.000000,12.253386,1308200
1999-03-01,17.000000,21.500000,16.625000,18.000000,12.974174,4856800
1999-04-01,18.062500,19.562500,16.375000,19.125000,13.785060,3382400
1999-05-01,19.125000,21.500000,17.125000,20.125000,14.505844,25302400
1999-06-01,19.812500,21.062500,16.875000,20.812500,15.001388,8644500
1999-07-01,20.812500,25.500000,19.312500,21.062500,15.181589,8600700
1999-08-01,21.250000,23.750000,14.875000,15.125000,10.901911,7095500
1999-09-01,15.687500,21.250000,14.687500,18.718750,13.492241,10737300
1999-10-01,18.812500,20.687500,15.437500,19.250000,13.875156,9120800
1999-11-01,19.500000,23.937500,17.875000,21.062500,15.181589,23632100
1999-12-01,21.125000,33.500000,19.750000,32.125000,23.155293,21709200
2000-01-01,31.687500,35.625000,28.187500,31.625000,22.794905,24209400
2000-02-01,31.437500,40.125000,30.250000,32.250000,23.245396,33595700
2000-03-01,33.125000,44.750000,32.375000,37.875000,27.299831,57160400
2000-04-01,38.250000,40.375000,29.250000,38.375000,27.660217,20293000
2000-05-01,38.812500,39.000000,23.062500,26.187500,18.875622,22274300
2000-06-01,27.000000,39.375000,26.500000,36.500000,26.308744,19845100
2000-07-01,35.875000,39.687500,28.625000,34.000000,24.506773,29883300
2000-08-01,34.125000,38.750000,33.250000,34.687500,25.002314,17751200
2000-09-01,35.000000,35.000000,24.500000,31.062500,22.389460,28078000
2000-10-01,31.062500,31.437500,21.375000,30.312500,21.848871,21445000
2000-11-01,29.531250,32.250000,23.062500,23.812500,17.163754,19175300
2000-12-01,24.437500,29.375000,21.812500,27.062500,19.506310,21467800
2001-01-01,27.125000,30.125000,24.187500,27.937500,20.137007,34833800
2001-02-01,28.187500,28.937500,22.625000,25.125000,18.109785,24990200
2001-03-01,25.000000,25.562500,13.875000,14.812500,10.676666,37176500
2001-04-01,15.000000,25.760000,11.187500,24.490000,17.652088,26408800
2001-05-01,24.500000,24.500000,15.750000,16.600000,11.965072,17194300
2001-06-01,16.500000,16.840000,13.200000,16.400000,11.820915,16197300
2001-07-01,16.150000,16.150000,9.600000,9.750000,7.027678,19263400
2001-08-01,9.750000,10.600000,7.400000,10.190000,7.344821,38532300
2001-09-01,10.190000,10.190000,7.400000,9.000000,6.487087,15826200
2001-10-01,8.900000,12.500000,8.140000,11.700000,8.433212,28242100
2001-11-01,11.700000,12.350000,9.900000,10.890000,7.849375,25730400
2001-12-01,10.600000,11.200000,8.900000,10.680000,7.698012,25283800
2002-01-01,10.700000,11.550000,5.900000,7.270000,5.240125,53907300
2002-02-01,7.220000,7.680000,5.100000,6.210000,4.476090,26509500
2002-03-01,6.400000,10.040000,6.220000,6.610000,4.764404,35385800
2002-04-01,6.650000,7.300000,5.230000,7.300000,5.261750,40238800
2002-05-01,7.250000,7.260000,4.050000,4.500000,3.243543,47777200
2002-06-01,4.450000,4.600000,3.620000,3.930000,2.832694,47345500
2002-07-01,3.940000,4.050000,2.260000,2.300000,1.657811,34177300
